pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo
676395,CH,Changeup,Offspeed,65,0.32338308457711445,0.27586206896551724,0.21428571428571427,88.75076923076922
676395,SL,Slider,Breaking,45,0.22388059701492538,0.6,0.2,84.8288888888889
676428,SI,Sinker,Fastball,228,0.5816326530612245,0.10204081632653061,0.09523809523809523,92.13991228070176
676428,ST,Sweeper,Breaking,106,0.27040816326530615,0.3902439024390244,0.2,81.82735849056604
676428,CH,Changeup,Offspeed,42,0.10714285714285714,0.3157894736842105,0.14285714285714285,87.67857142857143
676440,FC,Cutter,Fastball,492,0.24587706146926536,0.3483606557377049,0.28169014084507044,85.98394308943091
676440,SI,Sinker,Fastball,463,0.23138430784607697,0.15668202764976957,0.12962962962962962,93.41814254859611
676440,FF,4-Seam FB,Fastball,452,0.22588705647176413,0.15311004784688995,0.19480519480519481,93.97654867256638
676440,CH,Changeup,Offspeed,304,0.1519240379810095,0.3191489361702128,0.2413793103448276,81.07335526315791
676440,CU,Curveball,Breaking,219,0.10944527736131934,0.27184466019417475,0.19047619047619047,78.05433789954338
676440,ST,Sweeper,Breaking,71,0.03548225887056472,0.18181818181818182,0.21052631578947367,82.9154929577465
676467,FF,4-Seam FB,Fastball,73,0.3613861386138614,0.175,0.17391304347826086,91.2041095890411
676467,ST,Sweeper,Breaking,60,0.297029702970297,0.1111111111111111,0.0,81.45166666666665
676477,SI,Sinker,Fastball,286,0.5458015267175572,0.20606060606060606,0.1875,94.89265734265734
676477,SL,Slider,Breaking,146,0.2786259541984733,0.4117647058823529,0.35,85.8917808219178
676477,CH,Changeup,Offspeed,92,0.17557251908396945,0.37735849056603776,0.36666666666666664,84.34239130434783
676508,FF,4-Seam FB,Fastball,61,0.39869281045751637,0.4583333333333333,0.25,95.77704918032788
676508,ST,Sweeper,Breaking,44,0.2875816993464052,0.21052631578947367,0.1,87.08181818181819
676534,FC,Cutter,Fastball,311,0.4102902374670185,0.2642857142857143,0.15625,93.08520900321544
676534,ST,Sweeper,Breaking,166,0.21899736147757257,0.30666666666666664,0.37142857142857144,87.78855421686747
676534,CU,Curveball,Breaking,115,0.1517150395778364,0.2391304347826087,0.24,85.44782608695652
676534,SI,Sinker,Fastball,108,0.1424802110817942,0.08571428571428572,0.0,96.13333333333333
676534,FF,4-Seam FB,Fastball,46,0.06068601583113457,0.16666666666666666,0.16666666666666666,96.51086956521739
676568,FF,4-Seam FB,Fastball,101,0.507537688442211,0.21951219512195122,0.17647058823529413,93.93663366336634
676568,CH,Changeup,Offspeed,50,0.25125628140703515,0.32142857142857145,0.125,84.536
676568,CU,Curveball,Breaking,48,0.24120603015075376,0.15384615384615385,0.0,82.90416666666667
676571,ST,Sweeper,Breaking,240,0.35502958579881655,0.2962962962962963,0.22448979591836735,79.04291666666668
676571,FF,4-Seam FB,Fastball,201,0.2973372781065089,0.10126582278481013,0.08571428571428572,90.16865671641791
676571,SI,Sinker,Fastball,153,0.22633136094674555,0.05454545454545454,0.09090909090909091,88.99869281045751
676571,CH,Changeup,Offspeed,82,0.12130177514792899,0.1875,0.21052631578947367,80.37195121951218
676596,SI,Sinker,Fastball,45,0.375,0.1,0.125,89.14222222222223
676596,CU,Curveball,Breaking,38,0.31666666666666665,0.4,0.0,76.72368421052632
676604,FF,4-Seam FB,Fastball,111,0.39928057553956836,0.3269230769230769,0.3684210526315789,94.98468468468468
676604,ST,Sweeper,Breaking,83,0.29856115107913667,0.22857142857142856,0.3125,83.89518072289155
676604,SL,Slider,Breaking,52,0.18705035971223022,0.1935483870967742,0.09090909090909091,88.99999999999999
676617,SI,Sinker,Fastball,413,0.5916905444126075,0.1989795918367347,0.18032786885245902,98.17627118644069
676617,ST,Sweeper,Breaking,209,0.2994269340974212,0.45569620253164556,0.4166666666666667,83.50717703349282
676617,SL,Slider,Breaking,69,0.0988538681948424,0.2647058823529412,0.38461538461538464,91.1376811594203
676661,FF,4-Seam FB,Fastball,46,0.359375,0.041666666666666664,0.0,94.5695652173913
676661,FS,Splitter,Offspeed,32,0.25,0.3333333333333333,0.36363636363636365,86.4875
676664,FF,4-Seam FB,Fastball,137,0.36147757255936674,0.2112676056338028,0.2857142857142857,92.95985401459853
676664,CH,Changeup,Offspeed,89,0.23482849604221637,0.23809523809523808,0.42857142857142855,84.91910112359551
676664,ST,Sweeper,Breaking,55,0.14511873350923482,0.35294117647058826,0.6,79.26181818181817
676664,SL,Slider,Breaking,54,0.1424802110817942,0.15384615384615385,0.0,80.75370370370372
676664,SI,Sinker,Fastball,34,0.08970976253298153,0.058823529411764705,0.0,92.18235294117648
676680,ST,Sweeper,Breaking,52,0.8666666666666667,0.19230769230769232,0.25,73.0326923076923
676684,FF,4-Seam FB,Fastball,223,0.43984220907297833,0.19090909090909092,0.15384615384615385,95.79686098654707
676684,SL,Slider,Breaking,148,0.29191321499013806,0.43243243243243246,0.2702702702702703,87.73648648648648
676684,SI,Sinker,Fastball,78,0.15384615384615385,0.07692307692307693,0.1,95.28846153846153
676684,CH,Changeup,Offspeed,58,0.11439842209072978,0.5833333333333334,0.3,89.41896551724139
676742,FF,4-Seam FB,Fastball,108,0.4153846153846154,0.37735849056603776,0.18181818181818182,96.08240740740739
676742,SL,Slider,Breaking,106,0.4076923076923077,0.46153846153846156,0.32142857142857145,86.99056603773585
676742,CH,Changeup,Offspeed,38,0.14615384615384616,0.2222222222222222,0.125,90.35263157894735
676755,FF,4-Seam FB,Fastball,453,0.7306451612903225,0.2145922746781116,0.14545454545454545,94.060706401766
