batter,pitch_type,pitch_name,family,pitches,whiff,slg,xwoba
596019,CH,Changeup,Offspeed,200,0.23809523809523808,0.4782608695652174,0.3204878048780488
596019,SI,Sinker,Fastball,167,0.140625,0.5428571428571428,0.4286381025641026
596019,FC,Cutter,Fastball,146,0.2876712328767123,0.48148148148148145,0.40177833333333335
596019,SL,Slider,Breaking,143,0.33783783783783783,0.48484848484848486,0.3890498285714286
596019,CU,Curveball,Breaking,121,0.2571428571428571,0.5,0.3098571428571429
596019,FS,Splitter,Offspeed,75,0.34210526315789475,0.2631578947368421,0.16719145000000002
596019,ST,Sweeper,Breaking,70,0.3125,0.0,0.1984658
596103,FF,4-Seam FB,Fastball,124,0.1875,0.3,0.26862657142857144
596103,CH,Changeup,Offspeed,62,0.5555555555555556,0.14285714285714285,0.211
596103,SI,Sinker,Fastball,47,0.21428571428571427,0.25,0.2378698888888889
596115,FF,4-Seam FB,Fastball,215,0.2905982905982906,0.36363636363636365,0.24398669767441858
596115,SI,Sinker,Fastball,126,0.1875,0.5862068965517241,0.4265340344827586
596115,SL,Slider,Breaking,96,0.32727272727272727,0.36666666666666664,0.17909165517241377
596115,CH,Changeup,Offspeed,65,0.425,0.25,0.19349999999999998
596115,ST,Sweeper,Breaking,64,0.4166666666666667,0.2727272727272727,0.1678095238095238
596115,FC,Cutter,Fastball,61,0.1935483870967742,0.07142857142857142,0.20985714285714283
596115,CU,Curveball,Breaking,54,0.41379310344827586,0.29411764705882354,0.2552393125
596117,FF,4-Seam FB,Fastball,86,0.1111111111111111,0.0,0.29489223076923077
596117,SI,Sinker,Fastball,41,0.0,0.14285714285714285,0.2494483846153846
596142,FF,4-Seam FB,Fastball,258,0.2111111111111111,0.673469387755102,0.4680734615384616
596142,SL,Slider,Breaking,178,0.38461538461538464,0.22580645161290322,0.21631778787878786
596142,SI,Sinker,Fastball,154,0.06451612903225806,0.4358974358974359,0.3639229069767442
596142,CH,Changeup,Offspeed,136,0.5,0.30434782608695654,0.2591961923076923
596142,ST,Sweeper,Breaking,70,0.06666666666666667,0.5555555555555556,0.5007397777777778
596142,FC,Cutter,Fastball,65,0.10526315789473684,0.5333333333333333,0.35891594444444447
596142,CU,Curveball,Breaking,63,0.2608695652173913,0.6153846153846154,0.3259163571428571
596142,FS,Splitter,Offspeed,38,0.29411764705882354,0.3,0.2246
596146,FF,4-Seam FB,Fastball,136,0.19672131147540983,0.43478260869565216,0.3892581428571429
596146,CH,Changeup,Offspeed,90,0.2727272727272727,0.2608695652173913,0.19114456000000002
596146,SI,Sinker,Fastball,77,0.15789473684210525,0.3333333333333333,0.2641488947368421
596146,SL,Slider,Breaking,52,0.21875,0.2777777777777778,0.26625415789473683
596146,ST,Sweeper,Breaking,36,0.4,0.4444444444444444,0.2132829
596146,FC,Cutter,Fastball,29,0.2,0.4,0.36660000000000004
600869,FF,4-Seam FB,Fastball,61,0.35294117647058826,0.09090909090909091,0.043000000000000003
600869,SL,Slider,Breaking,32,0.5,0.0,0.2794041428571429
602104,FF,4-Seam FB,Fastball,83,0.18421052631578946,0.14285714285714285,0.3263040714285715
602104,SI,Sinker,Fastball,52,0.24,0.15384615384615385,0.1629121428571429
602104,SL,Slider,Breaking,45,0.23809523809523808,0.6363636363636364,0.3701524166666667
602104,ST,Sweeper,Breaking,33,0.3333333333333333,0.4,0.27688325
605137,FF,4-Seam FB,Fastball,634,0.2175141242937853,0.49019607843137253,0.35397939411764706
605137,CH,Changeup,Offspeed,385,0.24324324324324326,0.33707865168539325,0.29277235869565216
605137,SI,Sinker,Fastball,251,0.1388888888888889,0.36507936507936506,0.3141437424242424
605137,CU,Curveball,Breaking,200,0.3625,0.37142857142857144,0.31845980487804876
605137,SL,Slider,Breaking,173,0.1978021978021978,0.6176470588235294,0.4327336486486486
605137,FC,Cutter,Fastball,138,0.17567567567567569,0.4722222222222222,0.4366754375
605137,FS,Splitter,Offspeed,115,0.4074074074074074,0.2916666666666667,0.2368333333333333
605137,ST,Sweeper,Breaking,105,0.36,0.3333333333333333,0.17310223076923079
605137,KC,Knuckle-Curve,Breaking,36,0.4,0.25,0.3490921111111111
605141,FF,4-Seam FB,Fastball,439,0.05945945945945946,0.44545454545454544,0.3256365391304347
605141,SI,Sinker,Fastball,272,0.0423728813559322,0.41025641025641024,0.41412259259259254
605141,SL,Slider,Breaking,209,0.3132530120481928,0.4166666666666667,0.28502082352941177
605141,FC,Cutter,Fastball,163,0.07792207792207792,0.4782608695652174,0.2892043260869565
605141,CH,Changeup,Offspeed,147,0.19444444444444445,0.2926829268292683,0.29889572500000006
605141,ST,Sweeper,Breaking,125,0.20408163265306123,0.47619047619047616,0.36714285714285716
605141,CU,Curveball,Breaking,69,0.10526315789473684,0.0,0.11005233333333335
605141,FS,Splitter,Offspeed,27,0.4,0.4,0.196
605170,FF,4-Seam FB,Fastball,438,0.13989637305699482,0.2982456140350877,0.29154051639344264
605170,SI,Sinker,Fastball,198,0.09523809523809523,0.18,0.307683074074074
605170,CH,Changeup,Offspeed,192,0.345679012345679,0.24444444444444444,0.26262478723404253
605170,SL,Slider,Breaking,152,0.4117647058823529,0.46875,0.35292427027027024
605170,CU,Curveball,Breaking,118,0.26666666666666666,0.23076923076923078,0.31584611764705883
605170,FC,Cutter,Fastball,117,0.08620689655172414,0.875,0.5635167878787879
605170,ST,Sweeper,Breaking,55,0.3684210526315789,0.75,0.26261555555555555
605170,FS,Splitter,Offspeed,42,0.5238095238095238,0.18181818181818182,0.16190241666666666
605244,FF,4-Seam FB,Fastball,30,0.3333333333333333,0.3333333333333333,0.0032500000000000003
606115,FF,4-Seam FB,Fastball,61,0.2,0.5714285714285714,0.35006541666666663
606115,SL,Slider,Breaking,40,0.2,0.2727272727272727,0.19414285714285714
606115,SI,Sinker,Fastball,35,0.13333333333333333,0.4166666666666667,0.31625
606115,ST,Sweeper,Breaking,29,0.08333333333333333,0.2,0.0986
606192,FF,4-Seam FB,Fastball,412,0.25,0.45454545454545453,0.37011217021276593
606192,SI,Sinker,Fastball,317,0.15714285714285714,0.5068493150684932,0.38405958441558447
606192,CH,Changeup,Offspeed,184,0.4175824175824176,0.39473684210526316,0.30846412820512814
606192,SL,Slider,Breaking,173,0.4594594594594595,0.5,0.28522447619047614
606192,FC,Cutter,Fastball,169,0.38095238095238093,0.5142857142857142,0.2992596764705882
606192,ST,Sweeper,Breaking,128,0.4107142857142857,0.2647058823529412,0.1483939393939394
606192,CU,Curveball,Breaking,59,0.3333333333333333,0.5,0.26698445454545455
606192,FS,Splitter,Offspeed,46,0.5833333333333334,0.14285714285714285,0.2144124375
606466,FF,4-Seam FB,Fastball,568,0.12,0.45751633986928103,0.3639403353658537
