batter,family,pitches,whiff,slg,xwoba
650859,Breaking,356,0.21714285714285714,0.37037037037037035,0.2756083164556962
650859,Fastball,772,0.17486338797814208,0.35119047619047616,0.31858713684210527
650859,Offspeed,208,0.24347826086956523,0.2807017543859649,0.3202746111111111
650968,Breaking,65,0.2702702702702703,0.2631578947368421,0.19864285714285715
650968,Fastball,121,0.11904761904761904,0.28125,0.2830384615384615
655316,Breaking,426,0.22162162162162163,0.31683168316831684,0.23218558823529412
655316,Fastball,721,0.14035087719298245,0.4657534246575342,0.3400449433962265
655316,Offspeed,140,0.32857142857142857,0.5217391304347826,0.36885469565217394
656305,Breaking,425,0.24022346368715083,0.46808510638297873,0.288079587628866
656305,Fastball,888,0.2123456790123457,0.358695652173913,0.2807540145631068
656305,Offspeed,141,0.265625,0.35,0.3047066222222222
656413,Breaking,58,0.5416666666666666,0.07692307692307693,0.03585714285714286
656413,Fastball,95,0.5531914893617021,0.36363636363636365,0.3831887222222222
656484,Breaking,256,0.4791666666666667,0.2835820895522388,0.22225239393939394
656484,Fastball,387,0.19907407407407407,0.3625,0.32246208
656484,Offspeed,154,0.43373493975903615,0.2558139534883721,0.20790299999999998
656537,Breaking,229,0.40476190476190477,0.4576271186440678,0.2954581785714286
656537,Fastball,450,0.31100478468899523,0.3829787234042553,0.27884663917525776
656537,Offspeed,101,0.3673469387755102,0.36,0.3204077083333334
656555,Breaking,444,0.3472222222222222,0.4794520547945205,0.29422160714285717
656555,Fastball,806,0.2774869109947644,0.38953488372093026,0.3092300918367347
656555,Offspeed,150,0.5,0.34375,0.23475829729729725
656577,Breaking,87,0.33962264150943394,0.6363636363636364,0.31623850000000003
656577,Fastball,166,0.28421052631578947,0.24390243902439024,0.17508953846153844
656582,Breaking,92,0.2903225806451613,0.5882352941176471,0.42840543750000004
656582,Fastball,152,0.16923076923076924,0.20689655172413793,0.30028947826086955
656716,Breaking,366,0.2129032258064516,0.26136363636363635,0.30170854736842107
656716,Fastball,804,0.10294117647058823,0.36312849162011174,0.3096035729166667
656716,Offspeed,210,0.27522935779816515,0.16666666666666666,0.2067059818181818
656775,Breaking,462,0.25663716814159293,0.3263157894736842,0.21042932352941177
656775,Fastball,1049,0.2224334600760456,0.3562231759656652,0.2682355153846154
656775,Offspeed,192,0.19101123595505617,0.43478260869565216,0.30546155555555554
656811,Breaking,500,0.34156378600823045,0.39316239316239315,0.26307131147540985
656811,Fastball,902,0.1366906474820144,0.4864864864864865,0.3518241489361702
656811,Offspeed,205,0.27586206896551724,0.2777777777777778,0.3215963333333333
656941,Breaking,955,0.4364508393285372,0.33146067415730335,0.29411801
656941,Fastball,1048,0.2478813559322034,0.6591928251121076,0.4175129169811321
656941,Offspeed,328,0.40145985401459855,0.6190476190476191,0.3620688472222222
656976,Breaking,121,0.24324324324324326,0.15789473684210525,0.1656740625
656976,Fastball,220,0.08333333333333333,0.19672131147540983,0.26192975409836067
656976,Offspeed,70,0.41935483870967744,0.38461538461538464,0.3404641666666666
657041,Breaking,492,0.29878048780487804,0.28,0.24049497560975608
657041,Fastball,856,0.1806282722513089,0.43283582089552236,0.34551572925764196
657041,Offspeed,160,0.32432432432432434,0.35,0.30300770731707316
657136,Breaking,265,0.3333333333333333,0.37735849056603776,0.2926030847457627
657136,Fastball,456,0.1588785046728972,0.3867924528301887,0.3318707767857143
657136,Offspeed,72,0.4444444444444444,0.3333333333333333,0.16771272222222222
657656,Breaking,273,0.4049586776859504,0.2962962962962963,0.2052319411764706
